"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Optix",2.69175353973429e-62,1.44853409985144,0.908,0.667,3.74961268084987e-59
"pros",3.45862921015294e-61,1.22833282600277,1,0.953,4.81787048974305e-58
"Dbx",1.26799454726914e-57,1.27368693772375,0.788,0.553,1.76631640434591e-54
"Lim1",1.51269690947435e-39,0.846000626208686,0.949,0.717,2.10718679489777e-36
"Rx",4.62869614061579e-35,0.826327611451723,0.835,0.573,6.4477737238778e-32
"Vsx2",6.77620525242283e-35,1.08186426116357,0.784,0.579,9.439253916625e-32
"Vsx1",2.77288043029136e-27,0.735795107042705,0.817,0.625,3.86262243939587e-24
"hth",1.50286740811316e-17,0.455125088281672,0.952,0.866,2.09349429950163e-14
"pdm3",3.10319319565388e-08,0.530749188626193,0.897,0.762,4.32274812154586e-05
